goalie_id,current_team,first_name,last_name,position,photo,games_played,wins,losses,ties,otLosses,shutouts,goalsAgainstAvg,savePctg
8482821,16.0,Arvid,Soderblom,G,https://assets.nhle.com/mugs/nhl/20232024/CHI/8482821.png,27,4,20,0.0,1,0,4.016979,0.876289
8480263,,Dylan,Ferguson,G,https://assets.nhle.com/mugs/nhl/latest/8480263.png,2,1,1,,0,0,2.523836,0.939759
8475660,26.0,Cam,Talbot,G,https://assets.nhle.com/mugs/nhl/20232024/LAK/8475660.png,46,23,16,0.0,6,3,2.42499,0.917381
8474636,17.0,Michael,Hutchinson,G,https://assets.nhle.com/mugs/nhl/20232024/DET/8474636.png,1,0,1,0.0,0,0,3.114187,0.916667
8480280,6.0,Jeremy,Swayman,G,https://assets.nhle.com/mugs/nhl/20232024/BOS/8480280.png,40,23,8,0.0,8,3,2.582459,0.915825
8475683,13.0,Sergei,Bobrovsky,G,https://assets.nhle.com/mugs/nhl/20232024/FLA/8475683.png,52,32,16,0.0,3,4,2.409258,0.914166
8480313,54.0,Logan,Thompson,G,https://assets.nhle.com/mugs/nhl/20232024/VGK/8480313.png,39,20,12,0.0,5,1,2.724269,0.906827
8474682,7.0,Dustin,Tokarski,G,https://assets.nhle.com/mugs/nhl/20232024/BUF/8474682.png,4,1,2,,0,0,3.438395,0.897436
8479292,15.0,Charlie,Lindgren,G,https://assets.nhle.com/mugs/nhl/20232024/WSH/8479292.png,40,21,12,0.0,5,5,2.676107,0.911559
8470594,30.0,Marc-Andre,Fleury,G,https://assets.nhle.com/mugs/nhl/20232024/MIN/8470594.png,36,16,12,0.0,5,2,2.854639,0.899258
8476234,1.0,Keith,Kinkaid,G,https://assets.nhle.com/mugs/nhl/20232024/NJD/8476234.png,2,1,0,,0,0,1.365965,0.95
8480843,24.0,Lukas,Dostal,G,https://assets.nhle.com/mugs/nhl/20232024/ANA/8480843.png,36,11,19,0.0,2,1,3.447217,0.901119
8479312,17.0,Alex,Lyon,G,https://assets.nhle.com/mugs/nhl/20232024/DET/8479312.png,37,18,16,0.0,3,2,3.06538,0.903986
8480867,9.0,Kevin,Mandolese,G,https://assets.nhle.com/mugs/nhl/20232024/OTT/8480867.png,3,1,2,,0,0,3.293085,0.915966
8477293,12.0,Antti,Raanta,G,https://assets.nhle.com/mugs/nhl/20232024/CAR/8477293.png,24,12,7,0.0,2,1,2.987709,0.872211
8480382,21.0,Alexandar,Georgiev,G,https://assets.nhle.com/mugs/nhl/20232024/COL/8480382.png,56,37,15,0.0,3,2,2.819207,0.902655
8479361,10.0,Joseph,Woll,G,https://assets.nhle.com/mugs/nhl/20232024/TOR/8479361.png,21,10,9,0.0,1,0,2.962643,0.907855
8477831,26.0,Pheonix,Copley,G,https://assets.nhle.com/mugs/nhl/20232024/LAK/8477831.png,8,4,1,0.0,2,1,3.163082,0.870056
8475789,22.0,Jack,Campbell,G,https://assets.nhle.com/mugs/nhl/20232024/EDM/8475789.png,5,1,4,0.0,0,0,4.498032,0.872611
8482447,9.0,Leevi,Merilainen,G,https://assets.nhle.com/mugs/nhl/20232024/OTT/8482447.png,2,0,1,,1,0,4.231146,0.877551
8479380,,Dylan,Wells,G,https://assets.nhle.com/mugs/nhl/latest/8479380.png,1,0,0,,0,0,3.0,0.923077
8478872,53.0,Karel,Vejmelka,G,https://assets.nhle.com/mugs/nhl/20232024/ARI/8478872.png,33,11,17,0.0,2,1,3.23609,0.901961
8476316,52.0,Laurent,Brossoit,G,https://assets.nhle.com/mugs/nhl/20232024/WPG/8476316.png,20,12,5,0.0,2,2,2.049472,0.927007
8480925,21.0,Pavel,Francouz,G,https://assets.nhle.com/mugs/nhl/20232024/COL/8480925.png,16,8,7,,1,1,2.612662,0.914807
8475809,25.0,Scott,Wedgewood,G,https://assets.nhle.com/mugs/nhl/20232024/DAL/8475809.png,31,16,6,0.0,5,0,2.840975,0.900846
8479394,4.0,Carter,Hart,G,https://assets.nhle.com/mugs/nhl/20232024/PHI/8479394.png,26,12,9,0.0,3,1,2.80377,0.906465
8480420,52.0,Collin,Delia,G,https://assets.nhle.com/mugs/nhl/20232024/WPG/8480420.png,20,10,6,,2,0,3.275609,0.882129
8482982,29.0,Jet,Greaves,G,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8482982.png,3,1,2,0.0,0,0,3.377428,0.906542
8479406,30.0,Filip,Gustavsson,G,https://assets.nhle.com/mugs/nhl/20232024/MIN/8479406.png,40,18,15,0.0,4,3,3.153733,0.896916
8475311,15.0,Darcy,Kuemper,G,https://assets.nhle.com/mugs/nhl/20232024/WSH/8475311.png,31,13,13,0.0,3,1,3.346751,0.887892
8477361,4.0,Cal,Petersen,G,https://assets.nhle.com/mugs/nhl/20232024/PHI/8477361.png,5,2,2,0.0,0,0,3.90009,0.863636
8480947,18.0,Kevin,Lankinen,G,https://assets.nhle.com/mugs/nhl/20232024/NSH/8480947.png,19,10,4,0.0,0,1,2.902397,0.904192
8476341,9.0,Anton,Forsberg,G,https://assets.nhle.com/mugs/nhl/20232024/OTT/8476341.png,25,12,12,0.0,0,1,3.421925,0.885196
8478902,1.0,Erik,Kallgren,G,https://assets.nhle.com/mugs/nhl/20232024/NJD/8478902.png,10,3,2,,4,0,2.670623,0.898374
8471734,3.0,Jonathan,Quick,G,https://assets.nhle.com/mugs/nhl/20232024/NYR/8471734.png,24,16,5,0.0,2,2,2.43717,0.916053
8475831,55.0,Philipp,Grubauer,G,https://assets.nhle.com/mugs/nhl/20232024/SEA/8475831.png,29,10,13,0.0,2,1,2.961994,0.896689
8478916,55.0,Joey,Daccord,G,https://assets.nhle.com/mugs/nhl/20232024/SEA/8478916.png,46,18,15,0.0,11,3,2.424242,0.917388
8478406,28.0,Mackenzie,Blackwood,G,https://assets.nhle.com/mugs/nhl/20232024/SJS/8478406.png,37,9,20,0.0,3,1,3.566298,0.895924
8483530,16.0,Jaxson,Stauber,G,https://assets.nhle.com/mugs/nhl/20232024/CHI/8483530.png,6,5,1,,0,0,2.806052,0.910995
8475852,16.0,Petr,Mrazek,G,https://assets.nhle.com/mugs/nhl/20232024/CHI/8475852.png,50,17,26,0.0,4,1,3.069878,0.905502
8476883,14.0,Andrei,Vasilevskiy,G,https://assets.nhle.com/mugs/nhl/20232024/TBL/8476883.png,44,26,16,0.0,2,2,2.940231,0.897332
8480981,19.0,Joel,Hofer,G,https://assets.nhle.com/mugs/nhl/20232024/STL/8480981.png,26,13,11,0.0,0,1,2.726093,0.91689
8471774,24.0,Alex,Stalock,G,https://assets.nhle.com/mugs/nhl/20232024/ANA/8471774.png,27,9,15,,2,2,3.009489,0.90796
8478433,4.0,Felix,Sandstrom,G,https://assets.nhle.com/mugs/nhl/20232024/PHI/8478433.png,5,1,2,0.0,0,0,3.871213,0.822917
8476899,10.0,Matt,Murray,G,https://assets.nhle.com/mugs/nhl/20232024/TOR/8476899.png,26,14,8,,2,1,3.013916,0.90276
8478435,20.0,Dan,Vladar,G,https://assets.nhle.com/mugs/nhl/20232024/CGY/8478435.png,20,8,9,0.0,2,0,3.615365,0.881533
8479973,22.0,Stuart,Skinner,G,https://assets.nhle.com/mugs/nhl/20232024/EDM/8479973.png,52,32,14,0.0,4,2,2.656218,0.905036
8476903,,Jon,Gillies,G,https://assets.nhle.com/mugs/nhl/latest/8476903.png,3,1,1,,0,0,4.570461,0.863636
8479979,25.0,Jake,Oettinger,G,https://assets.nhle.com/mugs/nhl/20232024/DAL/8479979.png,46,28,13,0.0,4,1,2.974787,0.8977
8475883,12.0,Frederik,Andersen,G,https://assets.nhle.com/mugs/nhl/20232024/CAR/8475883.png,12,10,1,0.0,0,1,2.049201,0.92459
8481519,13.0,Spencer,Knight,G,https://assets.nhle.com/mugs/nhl/20232024/FLA/8481519.png,21,9,8,,3,1,3.182888,0.901116
8477424,18.0,Juuse,Saros,G,https://assets.nhle.com/mugs/nhl/20232024/NSH/8477424.png,57,32,21,0.0,4,3,2.752237,0.908642
8476914,9.0,Joonas,Korpisalo,G,https://assets.nhle.com/mugs/nhl/20232024/OTT/8476914.png,46,17,21,0.0,4,0,3.332455,0.888459
8483575,25.0,Matt,Murray,G,https://assets.nhle.com/mugs/nhl/20232024/DAL/8483575.png,1,1,0,0.0,0,1,0.0,1.0
8478971,53.0,Connor,Ingram,G,https://assets.nhle.com/mugs/nhl/20232024/ARI/8478971.png,44,19,19,0.0,3,6,2.872184,0.908379
