gameid,venue,gameType,season,period_count,period_type,home_id,home_goals,home_sog,home_faceoffWinningPctg,home_powerPlayConversion,home_pim,home_hits,home_blocks,away_id,away_goals,away_sog,away_faceoffWinningPctg,away_powerPlayConversion,away_pim,away_hits,away_blocks
2023020544,T-Mobile Arena,2,20232024,3,REG,54,3,32,0.442623,0/0,4,24,34,26,2,34,0.557377,0/2,0,26,9
2023020545,SAP Center at San Jose,2,20232024,3,REG,28,0,25,0.56,0/3,2,19,15,22,5,30,0.44,0/1,6,11,12
2023020546,Nationwide Arena,2,20232024,4,OT,29,6,21,0.428571,1/2,15,14,12,10,5,33,0.571429,2/4,11,13,17
2023020547,Little Caesars Arena,2,20232024,4,OT,17,5,23,0.492063,0/2,11,25,18,18,4,37,0.507937,0/2,11,22,15
2023020548,Amerant Bank Arena,2,20232024,3,REG,13,4,33,0.576271,1/3,4,34,12,3,3,34,0.423729,0/2,6,24,23
2023020549,Canadian Tire Centre,2,20232024,3,REG,9,2,27,0.472727,0/4,8,27,20,1,6,30,0.527273,2/4,8,14,14
2023020550,UBS Arena,2,20232024,3,REG,2,5,32,0.586957,0/3,4,25,8,15,1,27,0.413043,0/2,6,15,16
2023020551,American Airlines Center,2,20232024,4,OT,25,5,35,0.636364,1/3,6,13,14,16,4,29,0.363636,1/3,6,31,23
2023020552,Enterprise Center,2,20232024,3,REG,19,1,29,0.522727,0/4,4,16,9,21,2,23,0.477273,0/2,8,13,9
2023020553,Honda Center,2,20232024,3,REG,24,0,28,0.587302,0/3,10,29,18,53,2,32,0.412698,1/3,10,15,13
2023020554,Climate Pledge Arena,2,20232024,4,OT,55,2,29,0.6,1/2,6,22,14,4,1,28,0.4,0/3,4,16,21
2023020555,Canada Life Centre,2,20232024,3,REG,52,4,32,0.527273,0/4,17,25,17,30,2,36,0.472727,1/5,15,20,17
2023020556,KeyBank Center,2,20232024,4,OT,7,3,42,0.574074,0/1,2,15,6,29,2,20,0.425926,0/1,2,18,21
2023020557,TD Garden,2,20232024,3,REG,6,5,31,0.27451,2/2,4,39,14,1,2,33,0.72549,1/2,4,33,13
2023020558,Amerant Bank Arena,2,20232024,3,REG,13,4,26,0.408163,2/3,9,19,13,8,1,19,0.591837,1/2,11,19,17
