clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName,teamCommonName,teamAbbrev,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins
x,E,1,1,Eastern,3,1,2024-03-27,M,1,1,Metropolitan,1,1,2,72,47,0.652778,199,246,3.416667,35,29,94,123,9,0,52,24,21,0,26,10,13,27,40,2,0,16,7,6,0,8,2,4,4,1,20,4,NY Rangers,0.694444,100,0.638889,46,0.527778,38,37,18,105,123,11,4,48,22,17,0,22,20232024,3,2,W,3,New York Rangers,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,0,32,0,0.666667,48
NaN,W,6,3,Western,1,1,2024-03-27,C,3,3,Central,1,1,2,73,51,0.69863,219,270,3.69863,36,25,117,142,10,4,48,20,13,0,22,10,16,29,45,2,0,16,8,7,0,8,9,3,2,2,19,9,Dallas,0.678082,99,0.575342,42,0.465753,34,37,26,102,128,9,5,51,22,21,0,23,20232024,2,3,W,5,Dallas Stars,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,0,30,0,0.616438,45
NaN,E,3,5,Eastern,4,2,2024-03-27,A,1,2,Atlantic,3,1,2,73,42,0.575342,203,245,3.356164,38,31,102,133,9,6,52,21,20,0,23,10,5,28,33,3,1,13,6,5,0,6,5,11,6,3,16,15,Boston,0.678082,99,0.534247,39,0.452055,33,35,11,101,112,7,9,47,18,13,0,19,20232024,3,3,W,1,Boston Bruins,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,0,29,0,0.575342,42
NaN,W,2,4,Western,3,2,2024-03-27,P,1,1,Pacific,1,1,2,72,59,0.819444,192,251,3.486111,36,43,86,129,8,4,52,24,21,0,24,10,12,17,29,2,1,15,7,6,0,7,3,6,7,4,19,8,Vancouver,0.680556,98,0.625,45,0.541667,39,36,16,106,122,11,4,46,21,18,0,21,20232024,2,0,L,1,Vancouver Canucks,Canucks,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,0,31,0,0.625,45
NaN,E,7,12,Eastern,1,3,2024-03-27,A,4,7,Atlantic,1,2,2,72,57,0.791667,177,234,3.25,35,14,96,110,12,2,44,20,16,0,21,10,-2,30,28,5,1,9,4,4,0,4,14,24,1,5,21,5,Florida,0.673611,97,0.611111,44,0.527778,38,37,43,81,124,9,3,53,24,22,0,25,20232024,2,2,L,1,Florida Panthers,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,0,28,0,0.638889,46
NaN,W,1,2,Western,7,3,2024-03-27,C,1,2,Central,4,2,2,72,56,0.777778,214,270,3.75,35,62,88,150,7,0,56,27,24,0,28,10,23,20,43,1,0,18,9,5,0,9,1,2,13,6,21,5,Colorado,0.673611,97,0.611111,44,0.527778,38,37,-6,126,120,14,5,41,17,14,0,18,20232024,1,2,L,1,Colorado Avalanche,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,0,27,0,0.638889,46
NaN,E,2,3,Eastern,5,4,2024-03-27,M,2,2,Metropolitan,2,2,2,73,49,0.671233,199,248,3.39726,37,29,95,124,9,4,52,24,19,0,24,10,15,24,39,2,1,15,6,5,0,7,4,7,9,7,21,7,Carolina,0.664384,97,0.589041,43,0.506849,37,36,20,104,124,12,3,45,19,18,0,21,20232024,5,2,L,1,Carolina Hurricanes,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,0,26,0,0.616438,45
NaN,W,4,12,Western,5,4,2024-03-27,C,2,8,Central,3,3,2,72,44,0.611111,177,221,3.069444,35,36,81,117,9,3,49,23,22,0,23,10,-1,29,28,5,1,9,4,4,0,4,7,23,10,8,22,6,Winnipeg,0.652778,94,0.611111,44,0.541667,39,37,8,96,104,13,3,45,21,17,0,21,20232024,1,0,OT,1,Winnipeg Jets,Jets,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,0,25,0,0.611111,44
NaN,W,3,10,Western,6,5,2024-03-27,P,2,4,Pacific,3,2,2,70,48,0.685714,204,252,3.6,34,44,93,137,8,3,49,22,19,0,23,10,7,31,38,3,2,12,5,3,0,5,6,15,11,9,23,4,Edmonton,0.642857,90,0.585714,41,0.471429,33,36,4,111,115,15,1,41,19,14,0,20,20232024,1,2,W,1,Edmonton Oilers,Oilers,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,0,24,0,0.614286,43
NaN,W,8,1,Western,2,6,2024-03-27,C,5,1,Central,2,4,2,72,26,0.361111,210,236,3.277778,37,8,112,120,15,1,43,21,16,0,21,10,17,20,37,0,2,18,8,7,0,8,15,1,5,10,25,4,Nashville,0.625,90,0.569444,41,0.486111,35,35,18,98,116,10,3,47,20,19,0,22,20232024,0,2,W,6,Nashville Predators,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,0,22,1,0.597222,43
